Season,Player ID,Temp Player ID,Player,First Name,Last Name,Position,Body Fat %,Hand Length (in),Hand Width (in),Height without shoes (in),Height without shoes,Height with shoes (in),Height with shoes,Standing reach (in),Standing reach,Weight (lbs),Wingspan (in),Wingspan,Bench Press (reps),Lane Agility (sec),Max Vertical Leap (in),Modified Lane Agility (sec),Standing Vertical Leap (in),3/4 Court Sprint (sec),Spot-Up Coll 3 Left Wing Att,Spot-Up Coll 3 Left Wing Made,Spot-Up Coll 3 Left Wing %,Spot-Up Coll 3 Right Wing Att,Spot-Up Coll 3 Right Wing Made,Spot-Up Coll 3 Right Wing %,Spot-Up Coll 3 Left Corner Att,Spot-Up Coll 3 Left Corner Made,Spot-Up Coll 3 Left Corner %,Spot-Up Coll 3 Right Corner Att,Spot-Up Coll 3 Right Corner Made,Spot-Up Coll 3 Right Corner %,Spot-Up Coll 3 Top Att,Spot-Up Coll 3 Top Made,Spot-Up Coll 3 Top %,Spot-Up 15ft Left Wing Att,Spot-Up 15ft Left Wing Made,Spot-Up 15ft Left Wing %,Spot-Up 15ft Right Wing Att,Spot-Up 15ft Right Wing Made,Spot-Up 15ft Right Wing %,Spot-Up 15ft Left Corner Att,Spot-Up 15ft Left Corner Made,Spot-Up 15ft Left Corner %,Spot-Up 15ft Right Corner Att,Spot-Up 15ft Right Corner Made,Spot-Up 15ft Right Corner %,Spot-Up 15ft Top Att,Spot-Up 15ft Top Made,Spot-Up 15ft Top %,Spot-Up NBA 3 Left Wing Att,Spot-Up NBA 3 Left Wing Made,Spot-Up NBA 3 Left Wing %,Spot-Up NBA 3 Right Wing Att,Spot-Up NBA 3 Right Wing Made,Spot-Up NBA 3 Right Wing %,Spot-Up NBA 3 Left Corner Att,Spot-Up NBA 3 Left Corner Made,Spot-Up NBA 3 Left Corner %,Spot-Up NBA 3 Right Corner Att,Spot-Up NBA 3 Right Corner Made,Spot-Up NBA 3 Right Corner %,Spot-Up NBA 3 Top Att,Spot-Up NBA 3 Top Made,Spot-Up NBA 3 Top %,Off-Dribble Coll 3 Left Wing Att,Off-Dribble Coll 3 Left Wing Made,Off-Dribble Coll 3 Left Wing %,Off-Dribble Coll 3 Right Wing Att,Off-Dribble Coll 3 Right Wing Made,Off-Dribble Coll 3 Right Wing %,Off-Dribble Coll 3 Top Att,Off-Dribble Coll 3 Top Made,Off-Dribble Coll 3 Top %,Off-Dribble 15ft Left Wing Att,Off-Dribble 15ft Left Wing Made,Off-Dribble 15ft Left Wing %,Off-Dribble 15ft Right Wing Att,Off-Dribble 15ft Right Wing Made,Off-Dribble 15ft Right Wing %,Off-Dribble 15ft Top Att,Off-Dribble 15ft Top Made,Off-Dribble 15ft Top %,On-Move Coll 3 Att,On-Move Coll 3 Made,On-Move Coll 3 %,On-Move 15ft Att,On-Move 15ft Made,On-Move 15ft %
2026,1643517,1643517,Dailyn Swain,Dailyn,Swain,SF,,8,9.25,78.5,6' 6.50'',,,104.5,8' 8.50'',211.2,82,6' 10.00'',,11.25,36.5,3.08,28,3.21,,,,,,,25,14,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,22,0.733,,,,,,,,,,,,,,,,25,12,0.48,,,
2026,1643411,1643411,Darius Acuff Jr.,Darius,Acuff Jr.,PG,,8.5,9.25,74,6' 2.00'',,,98.5,8' 2.50'',185.8,78.5,6' 6.50'',,10.99,36.5,2.93,31.5,3.06,,,,,,,25,19,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,24,0.8,,,,,,,,,,,,,,,,25,13,0.52,,,
2026,1643408,1643408,Darryn Peterson,Darryn,Peterson,SG,,8.5,9.25,76.5,6' 4.50'',,,103,8' 7.00'',198.8,81.75,6' 9.75'',,11.17,37.5,2.95,31.5,3.16,,,,,,,25,19,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,21,0.7,,,,,,,,,,,,,,,,25,10,0.4,,,
2026,1641759,1641759,Dillon Mitchell,Dillon,Mitchell,PF,,8.5,9.75,78.75,6' 6.75'',,,104.5,8' 8.50'',202.2,82.5,6' 10.50'',,10.94,38.5,2.89,32.5,3.19,,,,,,,25,6,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,17,0.567,,,,,,,,,,,,,,,,25,9,0.36,,,
2026,1643536,1643536,Ebuka Okorie,Ebuka,Okorie,PG,,9,9.25,73.25,6' 1.25'',,,98,8' 2.00'',186,79.75,6' 7.75'',,10.71,37.5,2.96,31.5,3.26,,,,,,,25,19,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,23,0.767,,,,,,,,,,,,,,,,25,11,0.44,,,
2026,1643567,1643567,Emanuel Sharp,Emanuel,Sharp,SG,,8,8.25,74.75,6' 2.75'',,,98.5,8' 2.50'',208.4,75,6' 3.00'',,10.77,33,2.8,27.5,3.19,,,,,,,25,18,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,19,0.633,,,,,,,,,,,,,,,,25,15,0.6,,,
2026,1643590,1643590,Felix Okpara,Felix,Okpara,C,,8.75,9,82,6' 10.00'',,,112,9' 4.00'',237.4,86,7' 2.00'',,11.01,34.5,2.99,29.5,3.18,,,,,,,25,7,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,11,0.367,,,,,,,,,,,,,,,,25,10,0.4,,,
2026,1643540,1643540,Flory Bidunga,Flory,Bidunga,C,,9.25,10.5,79.75,6' 7.75'',,,106.5,8' 10.50'',228.6,87.25,7' 3.25'',,11.24,40.5,2.78,34,3.19,,,,,,,25,15,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,8,0.267,,,,,,,,,,,,,,,,25,13,0.52,,,
2026,1643419,1643419,Hannes Steinbach,Hannes,Steinbach,C,,9,10,82.25,6' 10.25'',,,108,9' 0.00'',248,86.25,7' 2.25'',,10.9,35.5,2.89,30,3.38,,,,,,,25,16,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,18,0.6,,,,,,,,,,,,,,,,25,9,0.36,,,
2026,1643539,1643539,Henri Veesaar,Henri,Veesaar,C,,8.75,9.5,83.25,6' 11.25'',,,111,9' 3.00'',227.2,86,7' 2.00'',,11.2,32.5,2.92,28,3.42,,,,,,,25,11,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,18,0.6,,,,,,,,,,,,,,,,25,12,0.48,,,
2026,1642912,1642912,Isaiah Evans,Isaiah,Evans,SG,,8.5,9,77.5,6' 5.50'',,,104.5,8' 8.50'',186,80.75,6' 8.75'',,11.87,35.5,2.89,27,3.18,,,,,,,25,14,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,21,0.7,,,,,,,,,,,,,,,,25,17,0.68,,,
2026,1643593,1643593,Izaiyah Nelson,Izaiyah,Nelson,C,,9.25,9.5,80.25,6' 8.25'',,,108,9' 0.00'',219.4,86.5,7' 2.50'',,11.22,38.5,2.9,32.5,3.2,,,,,,,25,9,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,16,0.533,,,,,,,,,,,,,,,,25,12,0.48,,,
2026,1643551,1643551,Ja'Kobi Gillespie,Ja'Kobi,Gillespie,PG,,8,9.5,71.75,5' 11.75'',,,95.5,7' 11.50'',181.8,76,6' 4.00'',,10.94,39.5,2.91,31.5,3.12,,,,,,,25,17,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,0.667,,,,,,,,,,,,,,,,25,17,0.68,,,
2026,1643583,1643583,Jack Kayil,Jack,Kayil,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1643618,1643618,Jacob Cofie,Jacob,Cofie,PF,,8.5,9.5,80.5,6' 8.50'',,,107,8' 11.00'',232,84,7' 0.00'',,11.3,36,2.92,29.5,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1643558,1643558,Jaden Bradley,Jaden,Bradley,PG,,8,9.25,74.5,6' 2.50'',,,96,8' 0.00'',205.4,78.25,6' 6.25'',,10.75,36,3.13,30.5,3.2,,,,,,,25,10,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,19,0.633,,,,,,,,,,,,,,,,25,12,0.48,,,
2026,1643541,1643541,Jaden Harris,Jaden,Harris,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1643519,1643519,Jayden Quaintance,Jayden,Quaintance,C,,9.5,11,81,6' 9.00'',,,109,9' 1.00'',253.4,89.25,7' 5.25'',,,,,,,,,,,,,25,9,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,11,0.367,,,,,,,,,,,,,,,,25,6,0.24,,,
2026,1643578,1643578,Jeremy Fears Jr.,Jeremy,Fears Jr.,PG,,8,9,72,6' 0.00'',,,97.5,8' 1.50'',196.2,76,6' 4.00'',,10.62,39,3.1,32,3.11,,,,,,,25,13,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,21,0.7,,,,,,,,,,,,,,,,25,13,0.52,,,
2026,1643612,1643612,John Blackwell,John,Blackwell,SG,,8.25,9.5,75.25,6' 3.25'',,,98,8' 2.00'',199.6,74.25,6' 2.25'',,11.23,35.5,3.08,28,3.17,,,,,,,25,16,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,18,0.6,,,,,,,,,,,,,,,,25,15,0.6,,,
2026,1643538,1643538,Joshua Jefferson,Joshua,Jefferson,PF,,9,10,79.75,6' 7.75'',,,104.5,8' 8.50'',246.2,82.75,6' 10.75'',,11.91,33,3.08,27,3.42,,,,,,,25,11,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,16,0.533,,,,,,,,,,,,,,,,25,15,0.6,,,
2026,1643510,1643510,Karim Lopez,Karim,Lopez,PF,,9.5,11,80.25,6' 8.25'',,,105.5,8' 9.50'',221.8,83.5,6' 11.50'',,11.14,38,2.88,32,3.32,,,,,,,25,14,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,16,0.533,,,,,,,,,,,,,,,,25,10,0.4,,,
2026,1643413,1643413,Keaton Wagler,Keaton,Wagler,PG,,8,9.25,77,6' 5.00'',,,100,8' 4.00'',188,78.25,6' 6.25'',,11.05,36,3,33,3.27,,,,,,,25,11,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,25,0.833,,,,,,,,,,,,,,,,25,12,0.48,,,
2026,1643545,1643545,Keyshawn Hall,Keyshawn,Hall,SF,,9.5,9.75,78,6' 6.00'',,,105,8' 9.00'',227.4,82.25,6' 10.25'',,11.15,34,3.1,30,3.25,,,,,,,25,18,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,23,0.767,,,,,,,,,,,,,,,,25,16,0.64,,,
2026,1643412,1643412,Kingston Flemings,Kingston,Flemings,PG,,8.5,9.5,74.5,6' 2.50'',,,98.5,8' 2.50'',183.4,75.5,6' 3.50'',,10.61,40.5,2.69,33.5,3.07,,,,,,,25,15,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,26,0.867,,,,,,,,,,,,,,,,25,19,0.76,,,
2026,1643520,1643520,Koa Peat,Koa,Peat,PF,,9,10,79,6' 7.00'',,,104,8' 8.00'',245,83.25,6' 11.25'',,11,37.5,3.39,34.5,3.16,,,,,,,25,6,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,0.5,,,,,,,,,,,,,,,,25,7,0.28,,,
2026,1643573,1643573,Kylan Boswell,Kylan,Boswell,PG,,8,8.5,73.25,6' 1.25'',,,95,7' 11.00'',226,79,6' 7.00'',,10.82,38,2.92,33,3.22,,,,,,,25,12,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,14,0.467,,,,,,,,,,,,,,,,25,12,0.48,,,
2026,1642889,1642889,Labaron Philon,Labaron,Philon,PG,,8.5,9,74.5,6' 2.50'',,,99.5,8' 3.50'',176.2,78.25,6' 6.25'',,11.55,35,3.13,30.5,3.09,,,,,,,25,14,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,23,0.767,,,,,,,,,,,,,,,,25,15,0.6,,,
2026,1643543,1643543,Luigi Suigo,Luigi,Suigo,C,,9.25,10.5,86.75,7' 2.75'',,,114,9' 6.00'',289,89.5,7' 5.50'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1643613,1643613,Malachi Moreno,Malachi,Moreno,C,,9.25,9.25,83.25,6' 11.25'',,,111.5,9' 3.50'',242.8,85.5,7' 1.50'',,11.62,29,3.11,25.5,3.52,,,,,,,25,12,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,17,0.567,,,,,,,,,,,,,,,,25,6,0.24,,,
2026,1643576,1643576,Maliq Brown,Maliq,Brown,C,,8.75,9,80,6' 8.00'',,,107,8' 11.00'',216.6,84.75,7' 0.75'',,11.22,34,3.05,29.5,3.07,,,,,,,25,9,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,0.5,,,,,,,,,,,,,,,,25,13,0.52,,,
2026,1643587,1643587,Matthew Able,Matthew,Able,SG,,8.75,10.5,75.75,6' 3.75'',,,103,8' 7.00'',195.8,80.25,6' 8.25'',,11.08,34,2.86,27.5,3.29,,,,,,,25,17,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,19,0.633,,,,,,,,,,,,,,,,25,13,0.52,,,
2026,1643509,1643509,Meleek Thomas,Meleek,Thomas,SG,,8,7.5,75,6' 3.00'',,,100,8' 4.00'',189.6,78.75,6' 6.75'',,11.57,38,2.97,31.5,3.22,,,,,,,25,14,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,22,0.733,,,,,,,,,,,,,,,,25,13,0.52,,,
2026,1643521,1643521,Milan Momcilovic,Milan,Momcilovic,PF,,8,9.5,80,6' 8.00'',,,102.5,8' 6.50'',218.2,81.25,6' 9.25'',,11.22,32,2.95,27.5,3.47,,,,,,,25,17,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,22,0.733,,,,,,,,,,,,,,,,25,16,0.64,,,
